elec_demand_MA,elec_demand_CT,elec_demand_ME
8761.0,2502.0,1195.0
8474.0,2420.0,1156.0
8336.0,2380.0,1136.0
8275.0,2364.0,1128.0
8330.0,2379.0,1136.0
8557.0,2444.0,1166.0
8959.0,2559.0,1222.0
9399.0,2684.0,1282.0
9982.0,2850.0,1361.0
10341.0,2953.0,1410.0
10483.0,2994.0,1429.0
10481.0,2993.0,1428.0
10418.0,2975.0,1420.0
10339.0,2953.0,1409.0
10308.0,2944.0,1405.0
10326.0,2949.0,1408.0
10808.0,3086.0,1474.0
11527.0,3292.0,1571.0
11531.0,3293.0,1572.0
11320.0,3233.0,1544.0
10905.0,3115.0,1487.0
10222.0,2920.0,1393.0
9458.0,2701.0,1289.0
8683.0,2479.0,1184.0
8126.0,2321.0,1108.0
7842.0,2239.0,1069.0
7727.0,2207.0,1054.0
7733.0,2209.0,1055.0
7973.0,2277.0,1087.0
8704.0,2485.0,1186.0
10034.0,2865.0,1368.0
10781.0,3079.0,1469.0
10942.0,3126.0,1492.0
11033.0,3151.0,1504.0
11119.0,3176.0,1516.0
11103.0,3170.0,1514.0
10996.0,3140.0,1499.0
10921.0,3119.0,1489.0
10803.0,3085.0,1473.0
10808.0,3086.0,1474.0
11301.0,3227.0,1540.0
12019.0,3432.0,1639.0
11919.0,3404.0,1625.0
11541.0,3296.0,1574.0
10997.0,3140.0,1499.0
10197.0,2912.0,1390.0
9194.0,2625.0,1253.0
8285.0,2366.0,1130.0
7707.0,2201.0,1050.0
7341.0,2097.0,1000.0
7162.0,2045.0,976.0
7116.0,2032.0,970.0
7319.0,2090.0,998.0
7994.0,2283.0,1090.0
9337.0,2666.0,1273.0
10078.0,2878.0,1374.0
10153.0,2900.0,1384.0
10111.0,2888.0,1378.0
10123.0,2891.0,1380.0
10081.0,2879.0,1374.0
9965.0,2846.0,1358.0
9889.0,2825.0,1348.0
9783.0,2794.0,1333.0
9791.0,2796.0,1335.0
10281.0,2936.0,1402.0
11182.0,3194.0,1525.0
11192.0,3196.0,1526.0
10926.0,3120.0,1489.0
10493.0,2997.0,1430.0
9776.0,2792.0,1332.0
8880.0,2536.0,1211.0
8042.0,2297.0,1096.0
7503.0,2143.0,1023.0
7232.0,2065.0,986.0
7111.0,2031.0,969.0
7117.0,2033.0,970.0
7346.0,2098.0,1001.0
8087.0,2309.0,1102.0
9490.0,2710.0,1294.0
10273.0,2934.0,1401.0
10338.0,2952.0,1409.0
10396.0,2969.0,1418.0
10443.0,2982.0,1424.0
10416.0,2975.0,1420.0
10312.0,2945.0,1406.0
10256.0,2929.0,1398.0
10138.0,2895.0,1383.0
10122.0,2891.0,1380.0
10578.0,3021.0,1442.0
11573.0,3306.0,1578.0
11640.0,3325.0,1587.0
11375.0,3249.0,1551.0
10958.0,3130.0,1494.0
10211.0,2916.0,1392.0
9243.0,2639.0,1260.0
8385.0,2394.0,1143.0
7825.0,2235.0,1067.0
7539.0,2153.0,1028.0
7404.0,2114.0,1010.0
7398.0,2113.0,1009.0
7632.0,2180.0,1040.0
8343.0,2383.0,1137.0
9737.0,2780.0,1328.0
10482.0,2994.0,1429.0
10532.0,3008.0,1436.0
10500.0,2999.0,1432.0
10474.0,2991.0,1428.0
10405.0,2972.0,1418.0
10322.0,2948.0,1407.0
10314.0,2945.0,1406.0
10285.0,2937.0,1402.0
10364.0,2960.0,1413.0
10868.0,3104.0,1482.0
11660.0,3330.0,1590.0
11630.0,3321.0,1585.0
11361.0,3245.0,1549.0
10911.0,3116.0,1488.0
10191.0,2910.0,1389.0
9244.0,2640.0,1260.0
8396.0,2398.0,1145.0
7822.0,2234.0,1066.0
7494.0,2140.0,1021.0
7343.0,2097.0,1001.0
7289.0,2082.0,994.0
7482.0,2137.0,1020.0
8142.0,2325.0,1110.0
9388.0,2681.0,1280.0
10233.0,2922.0,1395.0
10494.0,2997.0,1431.0
10665.0,3046.0,1454.0
10780.0,3079.0,1469.0
10817.0,3089.0,1474.0
10743.0,3068.0,1464.0
10657.0,3044.0,1453.0
10516.0,3003.0,1434.0
10468.0,2990.0,1427.0
10788.0,3081.0,1471.0
11254.0,3214.0,1535.0
11088.0,3167.0,1512.0
10715.0,3060.0,1461.0
10312.0,2945.0,1406.0
9767.0,2790.0,1332.0
9041.0,2582.0,1232.0
8305.0,2372.0,1132.0
7713.0,2203.0,1051.0
7356.0,2101.0,1003.0
7174.0,2048.0,978.0
7106.0,2029.0,969.0
7170.0,2048.0,978.0
7470.0,2134.0,1019.0
7989.0,2282.0,1089.0
8543.0,2439.0,1165.0
9129.0,2607.0,1245.0
9504.0,2715.0,1296.0
9671.0,2762.0,1318.0
9578.0,2735.0,1306.0
9397.0,2684.0,1281.0
9152.0,2614.0,1247.0
9002.0,2571.0,1227.0
9005.0,2572.0,1227.0
9435.0,2694.0,1287.0
10341.0,2953.0,1410.0
10416.0,2975.0,1420.0
10112.0,2888.0,1378.0
9802.0,2800.0,1337.0
9331.0,2665.0,1272.0
8730.0,2493.0,1190.0
8088.0,2310.0,1103.0
8033.0,2294.0,1095.0
7793.0,2226.0,1062.0
7711.0,2203.0,1051.0
7718.0,2204.0,1052.0
7822.0,2234.0,1066.0
8062.0,2303.0,1099.0
8451.0,2414.0,1152.0
8882.0,2537.0,1211.0
9489.0,2710.0,1293.0
9926.0,2835.0,1353.0
10142.0,2896.0,1383.0
10189.0,2910.0,1389.0
10146.0,2898.0,1383.0
10036.0,2866.0,1368.0
9926.0,2835.0,1353.0
9981.0,2850.0,1361.0
10404.0,2971.0,1418.0
11369.0,3247.0,1550.0
11758.0,3358.0,1603.0
11556.0,3301.0,1575.0
11152.0,3185.0,1520.0
10484.0,2994.0,1429.0
9722.0,2776.0,1325.0
8998.0,2569.0,1226.0
8505.0,2429.0,1160.0
8265.0,2360.0,1126.0
8168.0,2333.0,1114.0
8189.0,2339.0,1116.0
8428.0,2407.0,1149.0
9147.0,2612.0,1247.0
10459.0,2987.0,1426.0
11099.0,3170.0,1514.0
11148.0,3184.0,1520.0
11081.0,3165.0,1510.0
11015.0,3146.0,1502.0
10917.0,3118.0,1489.0
10710.0,3059.0,1460.0
10549.0,3013.0,1439.0
10359.0,2958.0,1412.0
10290.0,2939.0,1403.0
10536.0,3009.0,1436.0
11403.0,3256.0,1555.0
11764.0,3360.0,1604.0
11544.0,3296.0,1574.0
11133.0,3180.0,1518.0
10421.0,2976.0,1421.0
9484.0,2709.0,1293.0
8634.0,2465.0,1177.0
8090.0,2310.0,1103.0
7811.0,2231.0,1065.0
7709.0,2202.0,1051.0
7707.0,2201.0,1050.0
7943.0,2269.0,1083.0
8680.0,2479.0,1183.0
10023.0,2863.0,1367.0
10659.0,3044.0,1454.0
10701.0,3056.0,1459.0
10668.0,3046.0,1454.0
10648.0,3041.0,1452.0
10556.0,3015.0,1439.0
10434.0,2980.0,1423.0
10341.0,2953.0,1410.0
10225.0,2920.0,1394.0
10169.0,2904.0,1386.0
10383.0,2965.0,1415.0
11184.0,3194.0,1525.0
11488.0,3281.0,1566.0
11197.0,3198.0,1526.0
10762.0,3073.0,1467.0
10056.0,2872.0,1371.0
9134.0,2609.0,1245.0
8318.0,2375.0,1134.0
7763.0,2217.0,1058.0
7466.0,2132.0,1018.0
7322.0,2091.0,998.0
7307.0,2087.0,996.0
7510.0,2144.0,1024.0
8252.0,2357.0,1125.0
9581.0,2736.0,1306.0
10291.0,2939.0,1403.0
10431.0,2979.0,1422.0
10465.0,2989.0,1427.0
10495.0,2997.0,1431.0
10449.0,2984.0,1424.0
10324.0,2949.0,1408.0
10266.0,2932.0,1399.0
10149.0,2899.0,1383.0
10110.0,2887.0,1378.0
10359.0,2959.0,1413.0
11099.0,3170.0,1513.0
11355.0,3243.0,1548.0
11088.0,3167.0,1512.0
10636.0,3037.0,1450.0
9927.0,2835.0,1353.0
8993.0,2569.0,1226.0
8142.0,2325.0,1110.0
7625.0,2178.0,1040.0
7352.0,2099.0,1002.0
7247.0,2069.0,988.0
7297.0,2084.0,994.0
7532.0,2151.0,1027.0
8314.0,2374.0,1133.0
9641.0,2754.0,1314.0
10287.0,2938.0,1403.0
10370.0,2961.0,1414.0
10385.0,2966.0,1416.0
10365.0,2960.0,1413.0
10310.0,2945.0,1405.0
10247.0,2926.0,1397.0
10244.0,2925.0,1397.0
10168.0,2904.0,1386.0
10204.0,2915.0,1391.0
10572.0,3020.0,1441.0
11259.0,3216.0,1535.0
11406.0,3257.0,1555.0
11121.0,3176.0,1516.0
10679.0,3050.0,1456.0
9966.0,2846.0,1358.0
9025.0,2578.0,1231.0
8187.0,2338.0,1116.0
7611.0,2174.0,1038.0
7284.0,2080.0,993.0
7110.0,2031.0,969.0
7082.0,2023.0,965.0
7266.0,2075.0,990.0
7941.0,2268.0,1083.0
9190.0,2625.0,1253.0
9935.0,2837.0,1354.0
10145.0,2897.0,1383.0
10199.0,2913.0,1390.0
10213.0,2917.0,1393.0
10135.0,2895.0,1382.0
9964.0,2845.0,1358.0
9842.0,2811.0,1342.0
9677.0,2764.0,1319.0
9588.0,2739.0,1308.0
9757.0,2786.0,1330.0
10423.0,2976.0,1421.0
10732.0,3065.0,1463.0
10465.0,2989.0,1427.0
10112.0,2888.0,1378.0
9608.0,2744.0,1310.0
8902.0,2543.0,1214.0
8169.0,2333.0,1114.0
7626.0,2178.0,1040.0
7319.0,2090.0,998.0
7175.0,2049.0,978.0
7115.0,2032.0,969.0
7188.0,2053.0,980.0
7493.0,2140.0,1021.0
7971.0,2277.0,1086.0
8487.0,2424.0,1157.0
9054.0,2586.0,1234.0
9378.0,2679.0,1278.0
9475.0,2706.0,1292.0
9397.0,2684.0,1281.0
9213.0,2631.0,1256.0
8987.0,2567.0,1225.0
8846.0,2526.0,1206.0
8855.0,2529.0,1207.0
9156.0,2614.0,1248.0
9899.0,2827.0,1349.0
10203.0,2914.0,1391.0
9935.0,2838.0,1354.0
9625.0,2749.0,1312.0
9180.0,2622.0,1252.0
8581.0,2451.0,1170.0
7971.0,2277.0,1086.0
6488.0,1853.0,884.0
6220.0,1776.0,848.0
6097.0,1741.0,831.0
6095.0,1741.0,831.0
6305.0,1801.0,859.0
7009.0,2002.0,955.0
8321.0,2376.0,1135.0
9087.0,2595.0,1239.0
9303.0,2657.0,1268.0
9426.0,2692.0,1285.0
9581.0,2736.0,1306.0
9660.0,2759.0,1317.0
9664.0,2760.0,1318.0
9701.0,2770.0,1322.0
9625.0,2749.0,1312.0
9513.0,2717.0,1297.0
9440.0,2696.0,1287.0
9438.0,2695.0,1287.0
9510.0,2716.0,1297.0
10034.0,2865.0,1368.0
9803.0,2800.0,1337.0
9053.0,2585.0,1234.0
8084.0,2309.0,1102.0
7222.0,2063.0,984.0
6657.0,1901.0,908.0
6364.0,1818.0,868.0
6229.0,1779.0,849.0
6188.0,1767.0,843.0
6383.0,1823.0,870.0
7038.0,2010.0,959.0
8316.0,2375.0,1134.0
9058.0,2587.0,1235.0
9240.0,2639.0,1260.0
9335.0,2666.0,1272.0
9468.0,2704.0,1291.0
9552.0,2728.0,1302.0
9590.0,2739.0,1308.0
9666.0,2760.0,1318.0
9640.0,2753.0,1314.0
9594.0,2740.0,1308.0
9588.0,2738.0,1307.0
9612.0,2745.0,1310.0
9624.0,2749.0,1312.0
10133.0,2894.0,1382.0
9966.0,2846.0,1358.0
9241.0,2639.0,1260.0
8240.0,2353.0,1123.0
7373.0,2105.0,1005.0
6779.0,1936.0,924.0
6465.0,1846.0,881.0
6283.0,1794.0,857.0
6237.0,1781.0,850.0
6399.0,1828.0,873.0
7020.0,2005.0,957.0
8288.0,2367.0,1130.0
9036.0,2580.0,1232.0
9330.0,2665.0,1272.0
9512.0,2716.0,1297.0
9710.0,2773.0,1323.0
9832.0,2808.0,1341.0
9865.0,2817.0,1345.0
9921.0,2834.0,1353.0
9892.0,2825.0,1348.0
9842.0,2811.0,1342.0
9817.0,2804.0,1338.0
9815.0,2803.0,1338.0
9778.0,2793.0,1333.0
10245.0,2925.0,1397.0
10070.0,2876.0,1373.0
9360.0,2673.0,1276.0
8382.0,2394.0,1142.0
7475.0,2134.0,1019.0
6924.0,1978.0,944.0
6561.0,1873.0,894.0
6379.0,1822.0,869.0
6315.0,1803.0,861.0
6456.0,1843.0,880.0
7061.0,2017.0,963.0
8316.0,2375.0,1134.0
9067.0,2590.0,1236.0
9369.0,2675.0,1277.0
9601.0,2742.0,1309.0
9838.0,2810.0,1341.0
9967.0,2846.0,1359.0
10001.0,2856.0,1363.0
10114.0,2889.0,1379.0
10112.0,2888.0,1378.0
10096.0,2883.0,1377.0
10079.0,2879.0,1374.0
10039.0,2867.0,1368.0
9934.0,2837.0,1354.0
10363.0,2960.0,1413.0
10219.0,2919.0,1393.0
9523.0,2720.0,1298.0
8513.0,2431.0,1161.0
7619.0,2176.0,1039.0
7042.0,2011.0,960.0
6684.0,1908.0,911.0
6461.0,1845.0,881.0
6390.0,1825.0,871.0
6527.0,1863.0,889.0
7096.0,2027.0,967.0
8282.0,2365.0,1129.0
9039.0,2582.0,1232.0
9336.0,2666.0,1272.0
9530.0,2722.0,1299.0
9699.0,2770.0,1322.0
9746.0,2783.0,1328.0
9669.0,2761.0,1318.0
9692.0,2768.0,1321.0
9603.0,2743.0,1309.0
9488.0,2710.0,1293.0
9425.0,2691.0,1285.0
9321.0,2662.0,1271.0
9137.0,2610.0,1246.0
9519.0,2719.0,1298.0
9343.0,2669.0,1274.0
8803.0,2514.0,1200.0
8073.0,2305.0,1100.0
7301.0,2085.0,995.0
6716.0,1918.0,915.0
6351.0,1813.0,866.0
6143.0,1754.0,838.0
6033.0,1723.0,823.0
6043.0,1726.0,823.0
6246.0,1783.0,851.0
6660.0,1902.0,908.0
7157.0,2044.0,975.0
7838.0,2239.0,1069.0
8325.0,2378.0,1135.0
8539.0,2439.0,1164.0
8579.0,2450.0,1170.0
8483.0,2423.0,1156.0
8313.0,2374.0,1133.0
8175.0,2334.0,1115.0
8109.0,2316.0,1106.0
8166.0,2332.0,1113.0
8373.0,2391.0,1141.0
8583.0,2451.0,1170.0
8925.0,2549.0,1216.0
8761.0,2502.0,1195.0
8313.0,2374.0,1133.0
7709.0,2202.0,1051.0
7087.0,2023.0,966.0
6571.0,1877.0,896.0
6231.0,1779.0,849.0
6059.0,1730.0,826.0
5975.0,1706.0,814.0
5989.0,1711.0,817.0
6126.0,1749.0,835.0
6447.0,1841.0,878.0
6881.0,1965.0,938.0
7568.0,2161.0,1031.0
8160.0,2330.0,1112.0
8530.0,2436.0,1163.0
8748.0,2498.0,1192.0
8822.0,2519.0,1202.0
8734.0,2494.0,1191.0
8636.0,2466.0,1177.0
8569.0,2447.0,1168.0
8690.0,2482.0,1185.0
8933.0,2551.0,1218.0
9135.0,2609.0,1246.0
9515.0,2717.0,1298.0
9322.0,2662.0,1271.0
8673.0,2477.0,1182.0
7890.0,2254.0,1075.0
7164.0,2046.0,977.0
6608.0,1888.0,901.0
6319.0,1804.0,861.0
6171.0,1763.0,841.0
6140.0,1753.0,837.0
6304.0,1800.0,859.0
6864.0,1960.0,936.0
7669.0,2190.0,1045.0
8552.0,2442.0,1166.0
9208.0,2629.0,1255.0
9678.0,2764.0,1319.0
10054.0,2871.0,1371.0
10306.0,2943.0,1405.0
10463.0,2988.0,1427.0
10571.0,3019.0,1441.0
10601.0,3028.0,1445.0
10595.0,3025.0,1444.0
10578.0,3021.0,1442.0
10493.0,2996.0,1430.0
10297.0,2940.0,1403.0
10362.0,2960.0,1413.0
10475.0,2991.0,1428.0
9742.0,2782.0,1328.0
8736.0,2495.0,1191.0
7797.0,2227.0,1063.0
7146.0,2041.0,974.0
6771.0,1933.0,923.0
6542.0,1868.0,892.0
6446.0,1841.0,878.0
6587.0,1881.0,898.0
7134.0,2038.0,973.0
7988.0,2281.0,1089.0
8934.0,2552.0,1218.0
9489.0,2710.0,1293.0
9825.0,2806.0,1339.0
10073.0,2877.0,1373.0
10198.0,2913.0,1390.0
10251.0,2928.0,1398.0
10355.0,2957.0,1412.0
10366.0,2960.0,1414.0
10344.0,2955.0,1410.0
10320.0,2947.0,1407.0
10229.0,2921.0,1394.0
9971.0,2848.0,1359.0
10006.0,2858.0,1364.0
10099.0,2884.0,1377.0
9367.0,2675.0,1277.0
8375.0,2392.0,1141.0
7490.0,2139.0,1021.0
6852.0,1957.0,934.0
6487.0,1853.0,884.0
6289.0,1796.0,858.0
6208.0,1773.0,846.0
6345.0,1812.0,865.0
6882.0,1966.0,938.0
7683.0,2194.0,1047.0
8510.0,2430.0,1160.0
8923.0,2549.0,1216.0
9152.0,2614.0,1247.0
9329.0,2665.0,1272.0
9411.0,2688.0,1283.0
9385.0,2680.0,1279.0
9389.0,2681.0,1280.0
9300.0,2656.0,1268.0
9163.0,2617.0,1249.0
9136.0,2610.0,1246.0
9176.0,2620.0,1251.0
9180.0,2622.0,1252.0
9428.0,2693.0,1285.0
9490.0,2710.0,1294.0
8880.0,2536.0,1211.0
8025.0,2292.0,1094.0
7210.0,2059.0,983.0
6671.0,1905.0,909.0
6372.0,1819.0,868.0
6204.0,1772.0,846.0
6173.0,1763.0,842.0
6352.0,1814.0,866.0
6918.0,1976.0,943.0
7804.0,2229.0,1064.0
8620.0,2462.0,1175.0
8997.0,2569.0,1226.0
9231.0,2636.0,1258.0
9413.0,2689.0,1283.0
9495.0,2711.0,1294.0
9478.0,2707.0,1292.0
9481.0,2708.0,1292.0
9413.0,2689.0,1283.0
9334.0,2666.0,1272.0
9320.0,2662.0,1271.0
9286.0,2652.0,1266.0
9175.0,2620.0,1251.0
9350.0,2670.0,1275.0
9569.0,2733.0,1304.0
8983.0,2565.0,1225.0
8108.0,2315.0,1106.0
7267.0,2075.0,990.0
6718.0,1918.0,916.0
6418.0,1833.0,875.0
6266.0,1789.0,854.0
6202.0,1771.0,845.0
6357.0,1816.0,867.0
6865.0,1961.0,936.0
7671.0,2191.0,1045.0
8476.0,2420.0,1156.0
8954.0,2557.0,1221.0
9292.0,2654.0,1267.0
9542.0,2725.0,1301.0
9660.0,2759.0,1317.0
9654.0,2757.0,1316.0
9664.0,2760.0,1318.0
9581.0,2736.0,1306.0
9465.0,2703.0,1290.0
9382.0,2680.0,1279.0
9251.0,2642.0,1261.0
