Load_MW_z1,Load_MW_z2,Load_MW_z3
7745.68471,2212.445925,1055.237521
7377.8476,2107.905091,1004.988115
7197.949123,2055.634674,980.8684001
7151.718229,2042.567069,974.8384714
7355.737173,2100.868688,1002.978139
8034.125285,2294.872352,1095.437045
9383.866372,2679.864078,1279.34987
10128.58577,2892.966548,1380.85367
10203.96222,2915.080955,1390.903551
10161.75141,2903.018551,1384.873622
10173.81164,2906.034152,1386.883598
10131.60082,2893.971748,1380.85367
10015.01857,2860.800137,1364.77386
9938.637095,2839.69093,1354.723979
9832.105036,2808.52972,1339.649157
9840.145192,2810.540121,1341.659133
10332.60471,2951.268167,1408.993337
11238.12721,3210.609852,1532.606875
11248.17741,3212.620253,1533.611863
10980.84224,3136.225028,1496.427303
10545.66883,3012.585387,1437.133004
9825.0699,2806.51932,1338.644169
8924.572495,2549.188035,1217.040607
8082.366217,2308.945157,1101.466974
7649.202845,2185.305516,1043.177663
7320.561493,2090.816685,997.953198
7145.688113,2041.561869,973.8334833
7117.547569,2033.520266,969.8135308
7302.471143,2085.790683,994.9382337
7980.859255,2279.794347,1088.402128
9236.128517,2638.650865,1259.250108
9984.867989,2851.753334,1360.753907
10195.92207,2912.065354,1389.898563
10250.19312,2928.148559,1396.93348
10264.26339,2932.169361,1399.948444
10185.87187,2910.054954,1388.893575
10014.01355,2859.794937,1364.77386
9891.401182,2825.618126,1348.69405
9725.572977,2778.37371,1325.579323
9636.126248,2753.243702,1314.524454
9805.974531,2800.488118,1336.634193
10475.31747,2991.47618,1428.088111
10785.86847,3080.93901,1470.297612
10517.52828,3004.543784,1434.11804
10162.75643,2903.018551,1384.873622
9656.226637,2758.269704,1316.53443
8946.682923,2556.224438,1220.055571
8210.003684,2345.132368,1119.55676
6895.438276,1969.187445,939.6638873
6597.952526,1883.745417,899.4643628
6437.149418,1838.511402,877.3546242
6397.95366,1827.454199,872.3296837
6576.847118,1878.719416,896.4493984
7216.039472,2061.665876,983.8833644
8385.882083,2395.392385,1142.671487
9276.329294,2649.708068,1264.275048
9560.749791,2731.129295,1303.469585
9710.497686,2774.352909,1324.574335
9825.0699,2806.51932,1338.644169
9858.235541,2815.566123,1344.674098
9781.854065,2794.456916,1333.619228
9759.743637,2787.420513,1330.604264
9618.035899,2747.2125,1311.50949
9521.554034,2719.066891,1298.444644
9568.789947,2733.139696,1304.474573
9674.316986,2763.295705,1318.544407
9712.507725,2774.352909,1324.574335
9864.265658,2817.576523,1344.674098
9933.611998,2837.68053,1354.723979
9308.489916,2658.754871,1268.295001
8336.636132,2381.31958,1135.63657
7451.214018,2128.009097,1015.037996
9095.425797,2597.437651,1240.155334
8551.710288,2442.6368,1165.786213
8199.95349,2342.116767,1117.546784
8029.100187,2293.867152,1094.432057
8108.496722,2315.981559,1105.486926
8415.027647,2403.433988,1146.691439
9367.786062,2675.843277,1277.339894
10557.72906,3015.600988,1439.14298
11475.3118,3277.958274,1564.766495
12218.02115,3490.055544,1665.265306
12800.93242,3655.913598,1745.664355
13168.76953,3761.459633,1795.913761
13367.76337,3818.756051,1822.043452
13550.67691,3871.026468,1847.168155
13654.19391,3900.177278,1862.242977
13608.96804,3887.109674,1855.20806
13564.74718,3875.04727,1849.178131
13474.29543,3848.912061,1837.118274
13166.75949,3761.459633,1795.913761
12699.42546,3627.767989,1731.594522
12381.83932,3537.299959,1688.380033
11978.82653,3421.701921,1633.105687
10856.21983,3101.043016,1480.347493
9669.291889,2762.290505,1318.544407
7140.663016,2039.551468,973.8334833
6806.996566,1944.057437,927.60403
6624.083031,1892.79222,903.4843152
6576.847118,1878.719416,896.4493984
6745.690382,1926.969031,919.5641251
7387.897794,2109.915491,1006.998091
8470.303715,2419.517193,1154.731344
9223.063264,2634.630063,1257.240132
9659.241695,2759.274904,1316.53443
9998.938261,2856.779336,1363.768872
10282.35374,2937.195362,1401.95842
10415.0163,2975.392975,1420.048206
10405.97113,2972.377374,1419.043218
10403.96109,2971.372174,1418.03823
10307.47922,2944.231765,1404.973385
10203.96222,2915.080955,1390.903551
10187.88191,2910.054954,1388.893575
10171.8016,2905.028952,1386.883598
10083.35989,2879.898944,1374.823741
10344.66494,2955.288968,1409.998325
10077.32978,2878.893743,1373.818753
9291.404585,2653.72887,1267.290013
8300.455432,2371.267577,1131.616617
7422.068455,2119.967495,1012.023032