Time_Index,CT_NG,ME_NG,MA_NG,None
1,18.59617191,18.59617191,18.01610783,0
2,18.59617191,18.59617191,18.01610783,0
3,18.59617191,18.59617191,18.01610783,0
4,18.59617191,18.59617191,18.01610783,0
5,18.59617191,18.59617191,18.01610783,0
6,18.59617191,18.59617191,18.01610783,0
7,18.59617191,18.59617191,18.01610783,0
8,18.59617191,18.59617191,18.01610783,0
9,18.59617191,18.59617191,18.01610783,0
10,18.59617191,18.59617191,18.01610783,0
11,18.59617191,18.59617191,18.01610783,0
12,18.59617191,18.59617191,18.01610783,0
13,18.59617191,18.59617191,18.01610783,0
14,18.59617191,18.59617191,18.01610783,0
15,18.59617191,18.59617191,18.01610783,0
16,18.59617191,18.59617191,18.01610783,0
17,18.59617191,18.59617191,18.01610783,0
18,18.59617191,18.59617191,18.01610783,0
19,18.59617191,18.59617191,18.01610783,0
20,18.59617191,18.59617191,18.01610783,0
21,18.59617191,18.59617191,18.01610783,0
22,18.59617191,18.59617191,18.01610783,0
23,18.59617191,18.59617191,18.01610783,0
24,18.59617191,18.59617191,18.01610783,0
25,13.95565929,13.95565929,13.58032371,0
26,13.95565929,13.95565929,13.58032371,0
27,13.95565929,13.95565929,13.58032371,0
28,13.95565929,13.95565929,13.58032371,0
29,13.95565929,13.95565929,13.58032371,0
30,13.95565929,13.95565929,13.58032371,0
31,13.95565929,13.95565929,13.58032371,0
32,13.95565929,13.95565929,13.58032371,0
33,13.95565929,13.95565929,13.58032371,0
34,13.95565929,13.95565929,13.58032371,0
35,13.95565929,13.95565929,13.58032371,0
36,13.95565929,13.95565929,13.58032371,0
37,13.95565929,13.95565929,13.58032371,0
38,13.95565929,13.95565929,13.58032371,0
39,13.95565929,13.95565929,13.58032371,0
40,13.95565929,13.95565929,13.58032371,0
41,13.95565929,13.95565929,13.58032371,0
42,13.95565929,13.95565929,13.58032371,0
43,13.95565929,13.95565929,13.58032371,0
44,13.95565929,13.95565929,13.58032371,0
45,13.95565929,13.95565929,13.58032371,0
46,13.95565929,13.95565929,13.58032371,0
47,13.95565929,13.95565929,13.58032371,0
48,13.95565929,13.95565929,13.58032371,0
49,6.619554772,6.619554772,6.653676189,0
50,6.619554772,6.619554772,6.653676189,0
51,6.619554772,6.619554772,6.653676189,0
52,6.619554772,6.619554772,6.653676189,0
53,6.619554772,6.619554772,6.653676189,0
54,6.619554772,6.619554772,6.653676189,0
55,6.619554772,6.619554772,6.653676189,0
56,6.619554772,6.619554772,6.653676189,0
57,6.619554772,6.619554772,6.653676189,0
58,6.619554772,6.619554772,6.653676189,0
59,6.619554772,6.619554772,6.653676189,0
60,6.619554772,6.619554772,6.653676189,0
61,6.619554772,6.619554772,6.653676189,0
62,6.619554772,6.619554772,6.653676189,0
63,6.619554772,6.619554772,6.653676189,0
64,6.619554772,6.619554772,6.653676189,0
65,6.619554772,6.619554772,6.653676189,0
66,6.619554772,6.619554772,6.653676189,0
67,6.619554772,6.619554772,6.653676189,0
68,6.619554772,6.619554772,6.653676189,0
69,6.619554772,6.619554772,6.653676189,0
70,6.619554772,6.619554772,6.653676189,0
71,6.619554772,6.619554772,6.653676189,0
72,6.619554772,6.619554772,6.653676189,0
73,6.44894769,6.44894769,7.984411426,0
74,6.44894769,6.44894769,7.984411426,0
75,6.44894769,6.44894769,7.984411426,0
76,6.44894769,6.44894769,7.984411426,0
77,6.44894769,6.44894769,7.984411426,0
78,6.44894769,6.44894769,7.984411426,0
79,6.44894769,6.44894769,7.984411426,0
80,6.44894769,6.44894769,7.984411426,0
81,6.44894769,6.44894769,7.984411426,0
82,6.44894769,6.44894769,7.984411426,0
83,6.44894769,6.44894769,7.984411426,0
84,6.44894769,6.44894769,7.984411426,0
85,6.44894769,6.44894769,7.984411426,0
86,6.44894769,6.44894769,7.984411426,0
87,6.44894769,6.44894769,7.984411426,0
88,6.44894769,6.44894769,7.984411426,0
89,6.44894769,6.44894769,7.984411426,0
90,6.44894769,6.44894769,7.984411426,0
91,6.44894769,6.44894769,7.984411426,0
92,6.44894769,6.44894769,7.984411426,0
93,6.44894769,6.44894769,7.984411426,0
94,6.44894769,6.44894769,7.984411426,0
95,6.44894769,6.44894769,7.984411426,0
96,6.44894769,6.44894769,7.984411426,0
97,5.971247861,5.971247861,7.19961885,0
98,5.971247861,5.971247861,7.19961885,0
99,5.971247861,5.971247861,7.19961885,0
100,5.971247861,5.971247861,7.19961885,0
101,5.971247861,5.971247861,7.19961885,0
102,5.971247861,5.971247861,7.19961885,0
103,5.971247861,5.971247861,7.19961885,0
104,5.971247861,5.971247861,7.19961885,0
105,5.971247861,5.971247861,7.19961885,0
106,5.971247861,5.971247861,7.19961885,0
107,5.971247861,5.971247861,7.19961885,0
108,5.971247861,5.971247861,7.19961885,0
109,5.971247861,5.971247861,7.19961885,0
110,5.971247861,5.971247861,7.19961885,0
111,5.971247861,5.971247861,7.19961885,0
112,5.971247861,5.971247861,7.19961885,0
113,5.971247861,5.971247861,7.19961885,0
114,5.971247861,5.971247861,7.19961885,0
115,5.971247861,5.971247861,7.19961885,0
116,5.971247861,5.971247861,7.19961885,0
117,5.971247861,5.971247861,7.19961885,0
118,5.971247861,5.971247861,7.19961885,0
119,5.971247861,5.971247861,7.19961885,0
120,5.971247861,5.971247861,7.19961885,0